epoch,learning_rate,loss,masked_accuracy,val_loss,val_masked_accuracy
0,9.999999747378752e-05,9.263346672058105,0.0,9.17314624786377,0.003610108280554414
1,9.999999747378752e-05,9.182300567626953,0.0007097232155501842,9.099626541137695,0.010830325074493885
2,9.999999747378752e-05,9.10908031463623,0.0021291696466505527,9.032700538635254,0.018050542101264
3,9.999999747378752e-05,9.042312622070312,0.0070972321555018425,8.973878860473633,0.036101084202528
4,9.999999747378752e-05,8.978967666625977,0.026969481259584427,8.922511100769043,0.072202168405056
5,9.999999747378752e-05,8.9173002243042,0.054648686200380325,8.877030372619629,0.08303248882293701
6,9.999999747378752e-05,8.868224143981934,0.06316536664962769,8.8358736038208,0.06859205663204193
7,9.999999747378752e-05,8.816784858703613,0.0702625960111618,8.797904014587402,0.06859205663204193
8,9.999999747378752e-05,8.767425537109375,0.07310149073600769,8.762456893920898,0.072202168405056
9,9.999999747378752e-05,8.722990989685059,0.0752306580543518,8.728961944580078,0.072202168405056
